怪物特殊0002(886),0x0142C64A
怪展示技能B(403),0x01576230
怪展示技能A(402),0x015764A6
怪物树妖攻击(397),0x01577132
怪物两次攻击(392),0x015787F2
地宫群魅惑A(391),0x01578A42
地宫单魅惑A(390),0x01578DB6
传送术(389),0x0157911E
六合护体(387),0x01579424
大慈悲(386),0x0157989C
四大皆空：地(385),0x01579DEC
四大皆空：水(384),0x0157AB0E
四大皆空：风(383),0x0157B832
四大皆空：火(382),0x0157C55A
Boss加速祝福(379),0x0157D6D6
远程攻击眩晕(365),0x0157F5BC
远程火之流星(364),0x0157F922
远程缠绕定身(363),0x0157FC54
特殊怪物自杀(362),0x0157FF98
远程腐蚀减防(361),0x015801E6
特殊怪物灼烧(360),0x0158055E
单体吸血攻击(359),0x015808B0
Boss胜利狂暴(358),0x01580C2A
Boss濒死狂暴(357),0x015811B4
群体缴械攻击(356),0x01581574
单体缴械攻击(355),0x0158185C
群体随机诅咒(354),0x01581B42
单体随机诅咒(353),0x01581E30
自体无敌祝福(352),0x015820E4
自体防御祝福(351),0x015823A2
自体闪避祝福(350),0x015826A0
自体回春祝福(349),0x01582998
自体治疗祝福(348),0x01582CD6
群体乾坤攻击(347),0x01582FBE
单体乾坤攻击(346),0x0158321E
群体燃魔攻击(345),0x0158345C
单体燃魔攻击(344),0x0158374C
群体流血攻击(343),0x015A1728
单体流血攻击(342),0x015A1A68
群体击退攻击(341),0x015A1D8E
单体击退攻击(340),0x015A20CC
群体破甲攻击(339),0x015A2408
单体破甲攻击(338),0x015A2748
大陆群昏睡A(337),0x015A2A6E
大陆群魅惑A(336),0x015A2DF0
大陆群减速A(335),0x015A30A2
大陆群虚弱A(334),0x015A338C
大陆群定身A(333),0x015A3676
大陆群眩晕A(332),0x015A3928
大陆单昏睡A(331),0x015A3BF2
大陆单魅惑A(330),0x015A3EB8
大陆单减速A(329),0x015A4180
大陆单虚弱A(328),0x015A44C0
大陆单定身A(327),0x015A4800
大陆单眩晕A(326),0x015A4B08
慑魂夺魄(325),0x015A4E70
山盟(324),0x015A5438
金刚枪破(323),0x015A5980
王者印记(322),0x015A5CA6
宁静之祝(318),0x015A6C44
测试法宝(316),0x015A72C0
蝶舞(306),0x015AA394
热血(305),0x015AAB1E
销魂(298),0x015AD93A
暗香(295),0x015AE766
情网(290),0x015B061A
断水(287),0x015B14E0
神魔之念(286),0x015B1844
金刚护体(285),0x015B1C08
慈航普渡(283),0x015B2504
伏魔经(282),0x015B2946
定身之咒(281),0x015B2E38
2016生产-桑落酒(6683),0x015D7F5C
2016生产-女儿红(6682),0x015D81F6
烟雨平生(6680),0x015D8690
撑花照影(6679),0x015D898E
天罗拂月(6678),0x015D8C82
星庐听雨(6677),0x015D90E4
#N/A(6666),0x015DA9DE
与子同袍(6623),0x015E7792
歃血为盟(6622),0x015E7AB4
金刚经(278),0x0160BAF2
同归极乐(275),0x0160CD72
般若经(274),0x0160D106
众生轮回(272),0x0160DEE6
诵经(271),0x0160E290
烈焰赤羽(265),0x01610440
修罗斩(264),0x01610806
夺神斩(263),0x01610E18
天魔附体(262),0x016113C0
逆水咒(261),0x01611954
锐金咒(260),0x01612066
焚心斩(250),0x01615802
失魂斩(246),0x01616EB2
疯魔斩(244),0x01617BEA
雷神之锥(242),0x01618794
五雷轰顶(238),0x0161A106
雷霆震怒(236),0x0161AB12
雷云风暴(234),0x0161B800
五气朝元(231),0x0161CA8C
玄冰刺(230),0x0161CED4
完美密探之念(227),0x0161E238
寒霜剑气(226),0x0161E64A
驭雷术(225),0x0161EABA
寒冰咒(223),0x0161F1A2
勇气(220),0x0161FFB4
重击(218),0x01620674
默认技能(1),0x01620ADA
玉壶冰心(6621),0x01648404
倾盖如故(6620),0x0164875C
灵道士D(6611),0x01649B90
戾妖B(6609),0x01649F62
戾妖A(6608),0x0164A168
三头犬A(6606),0x0164A56A
骷髅行尸B(6605),0x0164A86C
骷髅行尸A(6604),0x0164AA7C
火狐B(6603),0x0164AC78
火狐A(6602),0x0164AE74
腐化灵石B(6601),0x0164B070
腐化灵石A(6600),0x0164B28E
冰焰犀(6598),0x0164B63E
狮兽B(6597),0x0164B84E
狮兽A(6596),0x0164BA54
刃手匪B(6595),0x0164BC64
刃手匪A(6594),0x0164BE6A
叛变的青云弟子D(6591),0x0164C3EC
叛变的青云弟子C(6590),0x0164C614
叛变的青云弟子B(6589),0x0164C824
叛变的青云弟子A(6588),0x0164CA4C
云岚·皓凝(6587),0x0164CCF8
云岚·铁马(6582),0x0164DAC8
云岚·吹雪(6581),0x0164DCDC
云岚·白雨(6580),0x0164DF1A
云岚·穿林(6579),0x0164E270
云岚·微雨(6578),0x0164E588
#N/A(6563),0x016508EC
#N/A(6562),0x01650AF2
#N/A(6561),0x01650CF8
秘法·响遏行云(6560),0x01650EFE
皓凝霜雪(6537),0x01678266
凌波梦寻(6534),0x016794C0
枯荷待雨(6528),0x0167AE60
潇潇雨歇(6527),0x0167B454
霜筠数曲(6526),0x0167B8E2
桐影疏风(6525),0x0167BF5A
初雷惊蛩(6513),0x0167F3F2
风幢影波(6512),0x0167F6AE
青箬笠(6456),0x016A73F8
山雨空濛(6454),0x016A7C74
绿蓑衣(6453),0x016A80DE
杏花疏影(6451),0x016A88DE
微雨燕飞(6448),0x016A9180
浮光莹玉(6443),0x016A9BB8
元霞莹玉(6442),0x016A9DA2
霜彩莹玉(6441),0x016AA022
赤焰莹玉(6440),0x016AA30C
 凤晶莹玉(6439),0x016AA576
云龙莹石(6438),0x016AA7EA
芙蓉莹石(6437),0x016AAA10
月琼莹石(6436),0x016AAC18
宝瑟莹石(6435),0x016AAE20
妙离莹玉(6434),0x016AB060
珍华莹石(6433),0x016AB2BE
三十六计(6414),0x016CCDB2
爱之守护(6413),0x016CCF70
灵猴兆瑞(6412),0x016CD376
寻找爱情臻果……(6411),0x016CD7D6
寻找爱情臻果……(6410),0x016CDA14
灵镜国战战车无敌(6405),0x016CE418
盛怒(6382),0x016D13BC
2015圣诞捕捉(6377),0x016D1E62
无差别反控制(6370),0x016D2B82
神罗天征(6340),0x016F902A
BOSS5(6331),0x016FB110
微星引月(6326),0x016FBFE0
圣莲金身(6314),0x016FDF96
圣莲之怒(6313),0x016FE254
圣莲缚足(6312),0x016FE57E
圣莲冰履(6311),0x016FE880
风行碧落(6305),0x016FFB90
小径香残(6304),0x016FFE0C
湘云织玉(6303),0x01700242
春衫凝碧(6302),0x017004EA
繁星碎(6301),0x01724510
万象鸿冥(6300),0x01724B6C
坎水印(6299),0x01724FA8
万夫莫开(6298),0x017252CC
暮雪千山(6294),0x017261C2
木剑真心(6291),0x01726BA2
碎碎念地碎碎念着碎碎念的碎碎念(6290),0x01726E3E
青澜·彤云(6269),0x0172C33E
青澜·清寒(6268),0x0172C6C0
青澜·花雨(6267),0x0172CAB4
青澜·晓光(6266),0x0172CD22
青澜·松风(6265),0x0172D10C
青澜·晴云(6264),0x0172D374
闪电减速专用(6255),0x0173053E
飞鸿踏雪<禅>(6248),0x01732180
小径香残<禅>(6247),0x017329C8
飞鸿踏雪<煞>(6243),0x017341F0
小径香残<煞>(6242),0x01734A52
飞鸿踏雪<玄>(6238),0x01736252
小径香残<玄>(6237),0x0176787A
寒影初回II(6232),0x01768BFC
疏影浮香II(6230),0x0176940E
彤云扫天II(6229),0x01769A86
夭桃繁杏II(6226),0x0176A56A
新蝉惊晚II(6225),0x0176AA14
一川烟草II(6222),0x0176B3D6
明月逐来II(6221),0x0176B808
碧情动天(6218),0x0176C544
凡华凌云(6217),0x0176C7F6
帮派基地活动_boss无敌(6215),0x0176CD56
帮派基地活动_饕餮变兔子(6213),0x0176D224
帮派基地活动_饕餮变老虎(6212),0x0176D64C
帮派基地活动_黄鸟变青蛙(6211),0x0176DA74
上古天罚(6207),0x0176E5CC
上古神罚(6206),0x0176E890
上古祝福(6205),0x0176EB72
增加技能熟练度(6200),0x0176F25A
风行碧落(6199),0x0176F7E2
袖翻乾坤(6198),0x0176F9F6
舞破重山(6197),0x0176FC1A
飞鸿踏雪(6196),0x0176FFCA
小径香残(6195),0x0177067E
帮派基地活动_饕餮_群传(6187),0x01771FF6
帮派基地活动_上官策_冰冻(6185),0x017725CE
帮派基地活动_陆雪琪_B(6184),0x017728C0
帮派基地活动_陆雪琪_A(6183),0x01772BF2
帮派基地活动_剑仙女_B(6182),0x01772F24
帮派基地活动_剑仙女_A(6181),0x01773256
帮派基地活动_田不易_B(6180),0x01773588
帮派基地活动_田不易_A(6179),0x017738BA
帮派基地活动_苍松_B(6178),0x01773BEC
帮派基地活动_苍松_A(6177),0x01773F1E
帮派基地活动_云易岚_B(6176),0x01774250
帮派基地活动_云易岚_A(6175),0x01774582
帮派基地活动_周一仙_B(6174),0x017748B4
帮派基地活动_周一仙_A(6173),0x0179557A
帮派基地活动_林惊羽_B(6172),0x017958AC
帮派基地活动_林惊羽_A(6171),0x01795BDE
相忘(6162),0x017978A2
空驰有术(6157),0x0179838E
飞鸿踏雪(6101),0x017C2F6A
小径香残(6100),0x017C35B2
疏影浮香(6097),0x017C45B2
烟焰雾雨(6096),0x017C4B78
水寒云晚(6094),0x017C561E
门含风帘(6088),0x017C73D0
晚风盈袖(6082),0x017C98D2
御风无凭(6074),0x017CC0C6
烟锁翠薇(6073),0x017CC56C
测试用玺绶2_1(7248),0x017EDC3E
2017元宵召唤(7246),0x017EE024
测试攻击(7244),0x017EE40A
2017春节活动仙鸡减速技能(7243),0x017EE61A
2017春节活动仙鸡变身技能(7242),0x017EE82A
金鸡迎春(7241),0x017EEA52
Jerant神来一笔(7240),0x017EEE54
栖凤(7230),0x017F00EA
逐龙(7229),0x017F02FA
龙凤留(7228),0x017F04B8
小云渺用无效果群攻(7216),0x017F1E90
吹面清寒(6019),0x01816D7E
青藜照夜(6016),0x01817C16
恍入迷途(6010),0x01819108
双林落雁(6009),0x01819428
舞榭歌扬(6008),0x0181989E
酒微时暮(6007),0x01819C32
风入松(6006),0x01819ECA
相濡(6005),0x0181A1E6
帮派基地活动-攻击小凤凰召唤怪技能1(6002),0x0181A7F2
帮派基地活动-攻击黄鸟召唤怪技能4(6001),0x0181AADA
帮派基地活动-攻击黄鸟召唤怪技能3(6000),0x0181AE18
帮派基地活动-攻击黄鸟召唤怪技能2(5999),0x0181B156
帮派基地活动-攻击黄鸟召唤怪技能1(5998),0x0181B43C
帮派基地活动-小凤凰技能2(5997),0x0181B722
帮派基地活动-小凤凰技能1(5996),0x0181BB8C
帮派基地活动-黄鸟boss技能2(5995),0x0181BE5A
帮派基地活动-黄鸟boss技能1(5994),0x0181C2C4
秘法·风舞九天(5993),0x0181C6A8
抹布(5988),0x0181D226
铲子(5987),0x0181D4CC
测试防守(5986),0x0181D790
扫把(5985),0x0181DA1E
飞龙在天(5955),0x018440D8
冰雪奇缘(5952),0x01844B4E
天真的我只是想煮碗粥(5951),0x0184502E
三阳开泰(5950),0x018454DA
烟花漫天舞(5946),0x0187DF14
201元旦鞭炮节活动变身黑鬼(5945),0x0187E1F6
炮烙(5943),0x0187E91C
寻找仙禽(5942),0x0187EBE6
打雪仗(5941),0x0187EEDA
捕捉(5939),0x0187F4A4
看，雪球！(5936),0x0187FD2A
鞭挞(5935),0x01880102
2014战旗6v6季军召唤3(5926),0x01881244
2014战旗6v6亚军召唤3(5925),0x018814DE
2014战旗6v6冠军军召唤3(5924),0x01881778
神罚(5914),0x018C2E8C
天火(5913),0x018C31CA
投石(5912),0x018C360C
万夫莫敌(5911),0x018C39D4
冲撞(5910),0x018C3CE0
火把(5909),0x018C40A8
变羊(5908),0x018C43B0
木棒(5907),0x018C466E
隐身(5906),0x018C49B4
挣脱(5905),0x018C4C34
加速奔跑(5904),0x018C4E3C
真武剑阁boss(5893),0x018C6536
天罡正觉·神III  《英雄》(5876),0x018CAFD8
神来一笔III 《英雄》(5798),0x01901C24
神来一笔III 《大地》(5797),0x0190213E
神来一笔III 《碧海》(5796),0x019027CA
神来一笔III 《天空》(5795),0x01902DC6
净涅·罡·存照III 《英雄》(5794),0x019033E4
魂元道引(5733),0x01942BA0
沾水的皮鞭(5732),0x01942F00
沾水的皮鞭(5731),0x019431DE
沾水的皮鞭(5730),0x019434BC
沾水的皮鞭(5729),0x0194379A
奔雷·繁星(5727),0x01943E30
奔雷·神机(5726),0x01944108
奔雷·游龙(5725),0x0197D1A2
奔雷·横断(5724),0x0197D440
奔雷·燕舞(5723),0x0197D716
奔雷·赤帝(5722),0x0197DA0C
流光逐月(5717),0x0197FD08
飞星鸣镝(5716),0x0197FF82
黄云堆雪(5715),0x0198029A
重山破塞(5714),0x01980692
繁星碎<禅>(5713),0x01980A36
排山倒海<禅>(5712),0x01981324
繁星碎<煞>(5709),0x0198284A
排山倒海<煞>(5708),0x019830B4
繁星碎<玄>(5705),0x01984608
排山倒海<玄>(5703),0x019854D0
流风回雪II(5701),0x0198640A
七星闪II(5695),0x0198725C
挪移咒II(5694),0x019875C4
艮土印II(5691),0x01987BF8
界·天演式·六道(5686),0x0198871C
界·天演式·六道(5685),0x01988952
界·天演式·六道(5684),0x01988CA2
界·天演式·六道(5683),0x01988FF2
界·天演式·六道(5682),0x01989342
繁星碎(5681),0x01989796
排山倒海(5680),0x01989C66
万象鸿冥(5679),0x01989EBE
坎水印(5678),0x0198A256
墨羽·神来(5677),0x0198A56A
墨羽·妙笔(5676),0x0198A7A6
墨羽·文心(5675),0x0198A9BA
墨羽·银钩(5674),0x0198AC78
墨羽·连珠(5673),0x0198AEB2
墨羽·点睛(5672),0x0198B10C
武魂·乾坤(5671),0x0198B414
武魂·星河(5670),0x0198B6EC
武魂·滔天(5669),0x0198B926
武魂·血魂(5668),0x0198BBA2
武魂·灭世(5667),0x0198BE42
武魂·破狼(5666),0x0198C0E2
眩火·南巫(5665),0x0198C4BA
眩火·炼狱(5664),0x0198C950
眩火·涅槃(5663),0x0198CD4C
眩火·绝尘(5662),0x0198D0AC
眩火·三昧(5661),0x019BFABC
眩火·焰袭(5660),0x019BFD28
碎玉·六道(5659),0x019C0170
碎玉·法魂术(5658),0x019C0452
碎玉·三千界(5657),0x019C068C
碎玉·定风波(5656),0x019C08EA
碎玉·存照(5655),0x019C0BEC
碎玉·听仇(5654),0x019C0EC0
幻歌·梅花(5653),0x019C1160
幻歌·阳关(5652),0x019C13FA
幻歌·朔月(5651),0x019C1688
幻歌·鸣泉(5650),0x019C18FC
幻歌·升皇(5649),0x019C1CA6
幻歌·济岚(5648),0x019C1EE8
千刃·天诛(5647),0x019C212A
千刃·斗杀(5646),0x019C23AE
千刃·突杀(5645),0x019C26A0
千刃·雷切(5644),0x019C28BE
千刃·鬼切(5643),0x019C2B02
千刃·侵杀(5642),0x019C2E40
羿神·云龙(5641),0x019C30C6
羿神·飞火(5640),0x019C3336
羿神·镇龙(5638),0x019C3868
羿神·沧澜(5637),0x019C3AAC
羿神·星芒(5636),0x019C3D10
昭武·八肱(5635),0x019C4010
昭武·乱刃(5634),0x019C428A
昭武·百烈(5632),0x019C4682
昭武·裂空(5631),0x019C4908
昭武·炙焰(5630),0x019C4B7E
玄冥·灭魂(5629),0x019C4E4A
玄冥·毒龙(5628),0x019C51E0
玄冥·巫毒(5627),0x019C53E6
玄冥·乱舞(5626),0x019C58E6
玄冥·三笑(5625),0x019C5B88
玄冥·碎魂(5624),0x019C5EDA
战舞·未名(5623),0x019C6312
战舞·魔魂(5622),0x019C684C
战舞·天魔(5621),0x019C6B58
战舞·旋龙(5620),0x019C6EEE
战舞·魔舞(5619),0x019C72DE
战舞·迅雷(5618),0x019C7554
无垢·无量(5617),0x019C77FE
无垢·佛光(5616),0x019C7C8A
无垢·慈航(5615),0x019C7ED6
无垢·雷音(5614),0x019C82CA
无垢·轮回(5613),0x019C8662
无垢·金刚(5612),0x019C88BE
破风·纵横(5611),0x019C8D3C
破风·横扫(5610),0x019C8F82
破风·天罡(5609),0x019C91E0
破风·背水(5608),0x019C9554
破风·血刃(5607),0x019C97AC
破风·阻截(5606),0x019C9B5E
无华·风花(5605),0x019C9E1C
无华·旧梦(5604),0x019CA062
无华·决绝(5603),0x019CA2A6
无华·江南(5602),0x019CA7A0
无华·蝶舞(5601),0x019CAA18
无华·缠绵(5600),0x019CAC5A
太乙·神剑(5582),0x019FB5D2
太乙·玄天(5581),0x019FB9C8
太乙·冰心(5580),0x019FBCD8
太乙·遁龙(5579),0x019FBF94
太乙·斩龙(5578),0x019FC33A
太乙·少阳(5577),0x019FC6C0
刑天震怒(5532),0x01A25690
神来一笔(5531),0x01A25DFA
妙笔生辉(5530),0x01A26116
银钩铁画(5529),0x01A26366
妙笔连珠(5528),0x01A265B6
点睛之笔(5527),0x01A26828
天诛(5526),0x01A26A5A
斗杀(5525),0x01A26DE4
牙袭(5523),0x01A27426
突杀(5522),0x01A27946
瞬杀(5520),0x01A280B0
血刃(5518),0x01A2889C
侵杀(5517),0x01A28CA4
双飞火(5514),0x01A29978
沧澜破(5513),0x01A29EF0
繁星碎·连(5511),0x01A2A60A
小凡守护(5510),0x01A2AD12
小凡领域(5509),0x01A2AFF2
雪琪守护(5508),0x01A2B2BA
雪琪领域(5507),0x01A2B59A
碧瑶守护(5506),0x01A2B862
碧瑶领域(5505),0x01A2BB42
鬼厉守护(5504),0x01A2BE0A
鬼厉领域(5503),0x01A2C0EA
净化(5502),0x01A2C3B2
破刹一击(5500),0x01A2C96E
金光纵地术(5499),0x01A2CC20
伏凤真言(5498),0x01A2CE5A
秘法·一夫当关(5423),0x01A603C0
繁星碎(5415),0x01A62BC0
排山倒海(5414),0x01A633D8
非安全区地图164以下变花(7193),0x01A8C86A
非安全区地图168变花技能(7192),0x01A8CA9C
非安全区地图166变花技能(7191),0x01A8CCCE
160到170非安全区地图等级压制168(7190),0x01A8CF00
160到170非安全区地图等级压制166(7189),0x01A8D11A
160到170非安全区地图等级压制164(7188),0x01A8D334
非安全区地图164变花技能(7187),0x01A8D54E
160到170安全区挂机地图用攻击技能2(7186),0x01A8D780
160到170安全区挂机地图用攻击技能1(7185),0x01A8D986
2016清除帮派活动减速(7174),0x01A8EEA8
2016家族活动减速(7140),0x01A94C24
2016帮派活动变身3(7136),0x01A9531A
2016帮派活动变身2(7135),0x01A95604
2016家族基地变身1(7134),0x01A958EE
孤烟障(5399),0x01ABAAFC
丹霞吟(5382),0x01AC0BD8
暮云簟影(5378),0x01AC1934
白鱼吹浪(5377),0x01AC1D36
蒹葭秋色(5375),0x01AC25CE
长云赤浪(5374),0x01AC2A18
焦金流石(5373),0x01AC2E6C
YSGBOSS(5370),0x01AC359E
倾城之舞(5369),0x01AC3842
倾城之舞(5368),0x01AC3AF0
灵动之舞(5367),0x01AC3D9E
狂野之舞(5366),0x01AC404C
娇媚之舞(5365),0x01AC42FA
回血回蓝加攻加防(5364),0x01AC4540
回血回蓝加攻加防(5363),0x01AC498A
愚人节附加真气(5359),0x01AC5CDC
愚人节伤害反弹(5358),0x01AC5F72
告白(5357),0x01AC61F2
告白(5356),0x01AC64C6
祝福(5355),0x01AC679A
祝福(5354),0x01AC6A40
坚韧(5351),0x01AC70B2
飞奔(5350),0x01AC737C
七魂索命(5348),0x01AC7862
九狱冥灵(5347),0x01AC7CF2
十殿阎罗(5346),0x01AC8182
捕鱼(5345),0x01AC862E
召唤-小马哥抗性增益(5344),0x01AC8962
天马行空(5342),0x01AC9040
隐匿(5341),0x01AE8FB0
叫嚣(5330),0x01AEADA4
探视(5328),0x01AEB3AE
六九天劫怪技能(5327),0x01AEB638
灵蛇飞动(5326),0x01AEB94E
麒麟化身(5325),0x01AEBE4C
延时麒麟冷却(5324),0x01AEC2F2
倾城之舞(5323),0x01AEC5F4
2013跨服战旗祝福3(5322),0x01AEC82A
2013跨服战旗祝福2(5321),0x01AECD0E
2013跨服战旗祝福1(5320),0x01AED1F2
2013战旗6V6季军召唤3(5319),0x01AED6D6
2013战旗6V6亚军召唤2(5318),0x01AED9F2
2013战旗6V6冠军召唤1(5317),0x01AEDD0E
木甲术：山洪<禅>(5316),0x01AEE0A4
机关术：裂地<禅>(5315),0x01AEEBF8
召唤：通天<禅>(5314),0x01AEF19C
神来一笔<禅>(5313),0x01AEF4D0
木甲术：山洪<煞>(5308),0x01AF0006
机关术：裂地<煞>(5307),0x01AF0B54
召唤：通天<煞>(5306),0x01AF10F8
神来一笔<煞>(5305),0x01AF142C
木甲术：山洪<玄>(5304),0x01AF1A00
机关术：裂地<玄>(5303),0x01AF24C0
召唤：通天<玄>(5302),0x01AF2A64
神来一笔<玄>(5301),0x01AF2D98
神机：诡雷II(5300),0x01AF3380
涡流II(5296),0x01AF4172
慧眼问道II(5290),0x01AF4D9C
木甲术：百劫II(5288),0x01AF5534
木甲术：浩渺II(5287),0x01AF5E4A
木甲术：燎原II(5286),0x01AF64A8
降临群攻(5285),0x01AF6A38
降临诅咒(5284),0x01AF6DD4
伤害6级玩家(5283),0x01AF73EC
废弃(5282),0x01AF76FA
循环焦土(5281),0x01AF79AA
骨墙自爆(5280),0x01AF7D9C
秘法·逐鹿九州(5279),0x01AF7FC4
秘法·千变玄机(5278),0x01AF81EC
